Personagem1,Personagem2,taxaVitoria1,taxaVitoria2
donkey-kong,byleth,58.03,41.97
donkey-kong,min-min,51.67,48.33
donkey-kong,steve,41.34,58.66
donkey-kong,sephiroth,58.76,41.24
donkey-kong,pyra-and-mythra,61.37,38.63
donkey-kong,kazuya,49.91,50.09
donkey-kong,sora,46.78,53.22
link,samus,43.7,56.3
link,dark-samus,40.85,59.15
link,yoshi,49.41,50.59
link,kirby,52.67,47.33
link,fox,58.55,41.45
link,pikachu,51.01,48.99
link,luigi,44.05,55.95
link,ness,48.95,51.05
link,captain-falcon,52.71,47.29
link,jigglypuff,57.55,42.45
link,peach,47.22,52.78
link,daisy,49.74,50.26
link,bowser,47.24,52.76
link,ice-climbers,50.06,49.94
link,sheik,60.57,39.43
link,zelda,42.94,57.06
link,dr-mario,45.88,54.12
link,pichu,49.72,50.28
link,falco,54.01,45.99
link,marth,61.89,38.11
link,lucina,59.99,40.01
link,young-link,55.32,44.68
link,ganondorf,49.22,50.78
link,mewtwo,60.39,39.61
link,roy,57.18,42.82
link,chrom,51.88,48.12
link,snake,37.98,62.02
link,ike,42.77,57.23
link,pokemon-trainer,49.75,50.25
link,diddy-kong,49.64,50.36
link,lucas,50.86,49.14
link,sonic,44.74,55.26
link,king-dedede,44.97,55.03
link,olimar,51.57,48.43
link,lucario,52.28,47.72
link,rob,46.19,53.81
link,toon-link,53.11,46.89
link,greninja,49.16,50.84
link,palutena,44.78,55.22
link,pac-man,47.54,52.46
link,robin,45.66,54.34
link,shulk,47.37,52.63
link,bowser-jr,46.36,53.64
link,duck-hunt,42.6,57.4
link,ryu,50.45,49.55
link,ken,41.38,58.62
link,cloud,50.5,49.5
link,corrin,56.44,43.56
link,bayonetta,38.16,61.84
link,inkling,54.27,45.73
link,ridley,53.75,46.25
link,simon,42.5,57.5
link,richter,39.22,60.78
link,king-k-rool,49.97,50.03
link,isabelle,52.18,47.82
link,incineroar,48.15,51.85
link,piranha-plant,53.86,46.14
link,joker,57.51,42.49
link,hero,47.86,52.14
link,banjo-and-kazooie,44.97,55.03
link,terry,44.47,55.53
link,byleth,55.5,44.5
link,min-min,38.13,61.87
link,steve,39.67,60.33
link,sephiroth,56.2,43.8
link,pyra-and-mythra,51.49,48.51
link,kazuya,40.01,59.99
link,sora,55.82,44.18
samus,dark-samus,49.05,50.95
samus,yoshi,55.65,44.35
samus,kirby,61.4,38.6
samus,fox,59.86,40.14
samus,pikachu,57.53,42.47
samus,luigi,52.58,47.42
samus,ness,51.34,48.66
samus,captain-falcon,54.22,45.78
samus,jigglypuff,57.53,42.47
samus,peach,52.63,47.37
samus,daisy,54.48,45.52
samus,bowser,55.61,44.39
samus,ice-climbers,50.42,49.58
samus,sheik,62.38,37.62
samus,zelda,49.06,50.94
samus,dr-mario,46.0,54.0
samus,pichu,58.29,41.71
samus,falco,54.92,45.08
samus,marth,60.47,39.53
samus,lucina,61.51,38.49
samus,young-link,57.88,42.12
samus,ganondorf,53.24,46.76
samus,mewtwo,54.69,45.31
samus,roy,57.25,42.75
samus,chrom,55.07,44.93
samus,mr-game-and-watch,52.45,47.55
samus,meta-knight,48.6,51.4
samus,pit,54.82,45.18
samus,dark-pit,57.96,42.04
samus,zero-suit-samus,51.23,48.77
samus,wario,52.8,47.2
samus,snake,46.55,53.45
samus,ike,45.52,54.48
samus,pokemon-trainer,53.7,46.3
samus,diddy-kong,52.36,47.64
samus,lucas,58.08,41.92
samus,sonic,50.48,49.52
samus,king-dedede,48.83,51.17
samus,olimar,48.72,51.28
samus,lucario,53.5,46.5
samus,rob,47.39,52.61
samus,pyra-and-mythra,54.98,45.02
samus,kazuya,48.79,51.21
dark-samus,sheik,61.33,38.67
dark-samus,zelda,48.72,51.28
dark-samus,dr-mario,48.1,51.9
dark-samus,pichu,60.18,39.82
dark-samus,falco,55.07,44.93
dark-samus,marth,61.83,38.17
dark-samus,lucina,61.52,38.48
dark-samus,young-link,56.16,43.84
dark-samus,ganondorf,54.14,45.86
dark-samus,little-mac,55.8,44.2
dark-samus,greninja,52.32,47.68
dark-samus,palutena,49.09,50.91
yoshi,fox,53.66,46.34
yoshi,pikachu,55.78,44.22
yoshi,luigi,41.04,58.96
yoshi,ness,50.66,49.34
yoshi,captain-falcon,56.13,43.87
yoshi,jigglypuff,59.67,40.33
yoshi,peach,50.88,49.12
yoshi,daisy,55.43,44.57
yoshi,bowser,50.73,49.27
yoshi,ice-climbers,49.59,50.41
yoshi,sheik,62.83,37.17
yoshi,zelda,48.36,51.64
yoshi,dr-mario,43.44,56.56
yoshi,pichu,56.16,43.84
yoshi,falco,55.25,44.75
yoshi,marth,61.2,38.8
yoshi,lucina,59.54,40.46
yoshi,young-link,51.84,48.16
yoshi,ganondorf,49.19,50.81
yoshi,wolf,52.93,47.07
yoshi,banjo-and-kazooie,48.21,51.79
yoshi,terry,42.87,57.13
yoshi,byleth,57.04,42.96
yoshi,min-min,44.27,55.73
yoshi,steve,43.19,56.81
yoshi,sephiroth,52.5,47.5
yoshi,pyra-and-mythra,51.48,48.52
yoshi,kazuya,43.5,56.5
yoshi,sora,48.82,51.18
kirby,fox,52.07,47.93
kirby,pikachu,46.66,53.34
kirby,luigi,31.71,68.29
kirby,ness,40.89,59.11
kirby,captain-falcon,52.57,47.43
kirby,jigglypuff,55.12,44.88
kirby,peach,46.05,53.95
kirby,daisy,51.49,48.51
kirby,bowser,44.95,55.05
kirby,ice-climbers,44.02,55.98
kirby,sheik,55.61,44.39
kirby,zelda,40.56,59.44
kirby,dr-mario,40.46,59.54
kirby,pichu,51.38,48.62
kirby,falco,52.46,47.54
kirby,marth,54.15,45.85
kirby,lucina,57.18,42.82
kirby,young-link,44.35,55.65
kirby,ganondorf,47.23,52.77
kirby,mewtwo,49.32,50.68
kirby,roy,61.37,38.63
kirby,chrom,50.42,49.58
kirby,mr-game-and-watch,36.77,63.23
kirby,meta-knight,45.86,54.14
kirby,pit,47.45,52.55
fox,byleth,53.47,46.53
fox,min-min,37.72,62.28
fox,steve,38.67,61.33
fox,sephiroth,51.05,48.95
fox,pyra-and-mythra,54.81,45.19
fox,kazuya,38.55,61.45
fox,sora,50.41,49.59
pikachu,luigi,37.86,62.14
pikachu,ness,38.98,61.02
pikachu,captain-falcon,52.15,47.85
pikachu,jigglypuff,55.12,44.88
pikachu,peach,46.45,53.55
pikachu,daisy,57.3,42.7
pikachu,bowser,48.4,51.6
pikachu,ice-climbers,40.13,59.87
pikachu,sheik,62.47,37.53
pikachu,zelda,40.89,59.11
pikachu,dr-mario,41.81,58.19
pikachu,pichu,53.46,46.54
pikachu,falco,56.11,43.89
pikachu,marth,58.81,41.19
pikachu,lucina,60.31,39.69
pikachu,young-link,51.22,48.78
pikachu,ganondorf,50.98,49.02
pikachu,mewtwo,50.95,49.05
pikachu,roy,54.92,45.08
pikachu,chrom,51.23,48.77
pikachu,mr-game-and-watch,46.1,53.9
pikachu,villager,46.79,53.21
pikachu,mega-man,46.28,53.72
pikachu,wii-fit-trainer,49.11,50.89
pikachu,rosalina,48.45,51.55
pikachu,little-mac,47.59,52.41
pikachu,greninja,49.26,50.74
pikachu,palutena,44.49,55.51
pikachu,pac-man,42.86,57.14
pikachu,robin,45.0,55.0
pikachu,shulk,48.79,51.21
pikachu,bowser-jr,43.98,56.02
pikachu,duck-hunt,40.99,59.01
pikachu,sora,52.2,47.8
luigi,ness,47.93,52.07
luigi,captain-falcon,63.66,36.34
luigi,mr-game-and-watch,57.14,42.86
luigi,meta-knight,59.45,40.55
luigi,pit,64.14,35.86
luigi,bowser-jr,51.73,48.27
luigi,duck-hunt,41.98,58.02
luigi,ryu,48.81,51.19
luigi,ken,50.75,49.25
luigi,cloud,55.18,44.82
luigi,corrin,60.31,39.69
luigi,bayonetta,50.48,49.52
luigi,inkling,55.66,44.34
luigi,ridley,54.49,45.51
luigi,simon,49.17,50.83
ness,chrom,53.62,46.38
ness,mr-game-and-watch,51.77,48.23
ness,meta-knight,51.61,48.39
ness,pit,55.7,44.3
ness,dark-pit,59.33,40.67
ness,zero-suit-samus,53.99,46.01
ness,wario,53.57,46.43
ness,snake,49.42,50.58
ness,ike,47.12,52.88
ness,pokemon-trainer,54.92,45.08
ness,diddy-kong,52.77,47.23
ness,lucas,53.45,46.55
ness,sonic,49.1,50.9
ness,king-dedede,43.05,56.95
ness,olimar,50.15,49.85
ness,lucario,60.38,39.62
ness,rob,45.15,54.85
ness,toon-link,49.01,50.99
ness,wolf,58.88,41.12
ness,villager,51.2,48.8
ness,mega-man,46.6,53.4
ness,wii-fit-trainer,48.61,51.39
ness,rosalina,49.38,50.62
ness,little-mac,57.13,42.87
ness,greninja,55.94,44.06
ness,palutena,45.2,54.8
ness,pac-man,46.36,53.64
ness,robin,40.86,59.14
ness,shulk,47.54,52.46
ness,bowser-jr,48.82,51.18
ness,duck-hunt,41.46,58.54
ness,ryu,47.16,52.84
ness,ken,48.25,51.75
ness,cloud,51.73,48.27
ness,corrin,56.88,43.12
ness,bayonetta,43.44,56.56
ness,inkling,56.46,43.54
ness,ridley,53.72,46.28
ness,simon,41.95,58.05
ness,richter,42.37,57.63
ness,king-k-rool,56.14,43.86
ness,isabelle,50.41,49.59
ness,incineroar,55.56,44.44
ness,piranha-plant,51.93,48.07
ness,joker,60.89,39.11
ness,hero,50.74,49.26
ness,banjo-and-kazooie,47.36,52.64
captain-falcon,ice-climbers,41.65,58.35
captain-falcon,sheik,53.83,46.17
captain-falcon,zelda,44.35,55.65
captain-falcon,dr-mario,47.29,52.71
captain-falcon,pichu,47.04,52.96
captain-falcon,falco,51.74,48.26
captain-falcon,marth,59.74,40.26
ice-climbers,ken,56.96,43.04
ice-climbers,cloud,50.41,49.59
ice-climbers,corrin,54.36,45.64
ice-climbers,bayonetta,53.78,46.22
ice-climbers,inkling,58.57,41.43
ice-climbers,ridley,55.79,44.21
ice-climbers,simon,35.54,64.46
ice-climbers,richter,39.17,60.83
ice-climbers,king-k-rool,52.78,47.22
ice-climbers,isabelle,43.7,56.3
ice-climbers,incineroar,58.56,41.44
ice-climbers,piranha-plant,43.02,56.98
ice-climbers,joker,59.43,40.57
ice-climbers,hero,44.71,55.29
ice-climbers,banjo-and-kazooie,45.13,54.87
ice-climbers,terry,47.81,52.19
ice-climbers,byleth,57.12,42.88
ice-climbers,min-min,41.66,58.34
ice-climbers,steve,38.1,61.9
ice-climbers,sephiroth,52.31,47.69
ice-climbers,pyra-and-mythra,50.32,49.68
ice-climbers,kazuya,49.58,50.42
ice-climbers,sora,52.78,47.22
sheik,zelda,34.31,65.69
sheik,dr-mario,36.36,63.64
sheik,pichu,46.59,53.41
sheik,falco,46.79,53.21
sheik,marth,50.0,50.0
sheik,lucina,50.7,49.3
sheik,young-link,39.37,60.63
sheik,ganondorf,47.17,52.83
sheik,mewtwo,50.72,49.28
sheik,roy,45.61,54.39
sheik,chrom,49.78,50.22
sheik,mr-game-and-watch,34.78,65.22
sheik,meta-knight,45.85,54.15
sheik,pit,50.0,50.0
sheik,dark-pit,47.21,52.79
sheik,zero-suit-samus,44.28,55.72
sheik,wario,41.09,58.91
sheik,snake,29.47,70.53
sheik,ike,38.1,61.9
sheik,pokemon-trainer,38.87,61.13
sheik,diddy-kong,46.07,53.93
sheik,lucas,41.75,58.25
sheik,sonic,41.69,58.31
sheik,king-dedede,35.46,64.54
sheik,olimar,51.35,48.65
sheik,lucario,43.8,56.2
sheik,rob,39.96,60.04
sheik,toon-link,35.41,64.59
sheik,wolf,43.28,56.72
sheik,villager,44.63,55.37
sheik,mega-man,42.47,57.53
sheik,wii-fit-trainer,30.13,69.87
sheik,rosalina,37.82,62.18
sheik,little-mac,48.03,51.97
sheik,greninja,46.38,53.62
sheik,palutena,35.0,65.0
sheik,pac-man,38.79,61.21
sheik,robin,43.05,56.95
sheik,shulk,45.14,54.86
sheik,bowser-jr,38.44,61.56
sheik,duck-hunt,37.5,62.5
sheik,ryu,31.71,68.29
sheik,ken,33.0,67.0
sheik,cloud,45.32,54.68
sheik,corrin,50.79,49.21
sheik,bayonetta,35.81,64.19
sheik,inkling,40.19,59.81
sheik,ridley,42.76,57.24
sheik,simon,48.78,51.22
sheik,richter,36.71,63.29
sheik,king-k-rool,41.62,58.38
sheik,isabelle,40.69,59.31
sheik,incineroar,34.47,65.53
sheik,piranha-plant,38.91,61.09
sheik,joker,49.87,50.13
sheik,hero,37.32,62.68
sheik,banjo-and-kazooie,42.31,57.69
sheik,terry,29.32,70.68
sheik,byleth,42.92,57.08
sheik,min-min,34.59,65.41
sheik,steve,28.82,71.18
sheik,sephiroth,47.92,52.08
sheik,pyra-and-mythra,42.96,57.04
sheik,kazuya,32.41,67.59
sheik,sora,39.64,60.36
zelda,dr-mario,45.33,54.67
zelda,pichu,55.9,44.1
zelda,falco,54.76,45.24
zelda,marth,57.09,42.91
zelda,lucina,61.19,38.81
zelda,young-link,57.23,42.77
zelda,ganondorf,57.84,42.16
zelda,mewtwo,55.4,44.6
zelda,roy,58.65,41.35
zelda,chrom,56.55,43.45
zelda,mr-game-and-watch,56.38,43.62
zelda,meta-knight,52.5,47.5
zelda,pit,48.7,51.3
zelda,dark-pit,51.86,48.14
zelda,zero-suit-samus,47.2,52.8
zelda,wario,53.5,46.5
zelda,snake,47.91,52.09
zelda,ike,45.0,55.0
zelda,pokemon-trainer,53.72,46.28
zelda,diddy-kong,50.14,49.86
zelda,lucas,53.19,46.81
zelda,sonic,43.46,56.54
zelda,king-dedede,56.45,43.55
zelda,olimar,50.7,49.3
zelda,lucario,57.58,42.42
zelda,rob,48.22,51.78
zelda,toon-link,53.77,46.23
zelda,wolf,57.06,42.94
zelda,villager,58.7,41.3
zelda,mega-man,56.28,43.72
zelda,wii-fit-trainer,42.41,57.59
zelda,rosalina,57.77,42.23
zelda,little-mac,50.5,49.5
zelda,greninja,48.07,51.93
zelda,palutena,48.76,51.24
dr-mario,lucas,52.55,47.45
dr-mario,sonic,48.38,51.62
dr-mario,king-dedede,48.8,51.2
dr-mario,olimar,48.18,51.82
dr-mario,lucario,62.09,37.91
dr-mario,rob,49.24,50.76
dr-mario,toon-link,53.29,46.71
dr-mario,wolf,54.01,45.99
dr-mario,villager,57.99,42.01
dr-mario,mega-man,52.52,47.48
dr-mario,wii-fit-trainer,54.61,45.39
dr-mario,rosalina,54.72,45.28
dr-mario,little-mac,49.7,50.3
dr-mario,greninja,59.85,40.15
dr-mario,palutena,52.25,47.75
dr-mario,pac-man,51.24,48.76
dr-mario,robin,53.98,46.02
dr-mario,shulk,51.21,48.79
dr-mario,bowser-jr,48.93,51.07
dr-mario,duck-hunt,54.37,45.63
dr-mario,ryu,54.52,45.48
dr-mario,ken,51.47,48.53
dr-mario,cloud,53.29,46.71
dr-mario,corrin,56.47,43.53
dr-mario,bayonetta,47.11,52.89
dr-mario,inkling,58.19,41.81
dr-mario,ridley,51.16,48.84
dr-mario,simon,46.19,53.81
dr-mario,richter,38.18,61.82
dr-mario,king-k-rool,51.89,48.11
dr-mario,isabelle,56.84,43.16
dr-mario,incineroar,53.36,46.64
dr-mario,piranha-plant,56.66,43.34
dr-mario,joker,57.5,42.5
dr-mario,hero,52.96,47.04
dr-mario,banjo-and-kazooie,57.19,42.81
dr-mario,terry,54.48,45.52
dr-mario,byleth,53.71,46.29
dr-mario,min-min,48.82,51.18
dr-mario,steve,45.96,54.04
dr-mario,sephiroth,54.53,45.47
dr-mario,pyra-and-mythra,56.2,43.8
dr-mario,kazuya,45.26,54.74
dr-mario,sora,55.86,44.14
pichu,falco,52.2,47.8
pichu,marth,59.57,40.43
pichu,lucina,58.79,41.21
pichu,young-link,53.02,46.98
pichu,ganondorf,51.54,48.46
pichu,mewtwo,56.06,43.94
pichu,roy,57.11,42.89
pichu,chrom,48.42,51.58
pichu,mr-game-and-watch,41.13,58.87
pichu,meta-knight,48.29,51.71
pichu,pit,48.54,51.46
pichu,dark-pit,52.98,47.02
pichu,zero-suit-samus,47.43,52.57
pichu,wario,51.79,48.21
pichu,snake,42.95,57.05
pichu,ike,46.08,53.92
pichu,pokemon-trainer,52.56,47.44
pichu,diddy-kong,54.5,45.5
pichu,lucas,46.87,53.13
pichu,sonic,52.01,47.99
pichu,king-dedede,44.16,55.84
pichu,olimar,47.27,52.73
pichu,lucario,45.09,54.91
pichu,rob,42.1,57.9
pichu,toon-link,50.5,49.5
pichu,wolf,52.13,47.87
pichu,villager,44.38,55.62
pichu,mega-man,42.01,57.99
pichu,wii-fit-trainer,48.02,51.98
pichu,rosalina,45.35,54.65
pichu,little-mac,53.52,46.48
pichu,greninja,47.36,52.64
pichu,palutena,43.64,56.36
pichu,pac-man,33.74,66.26
pichu,robin,49.25,50.75
pichu,shulk,50.39,49.61
pichu,bowser-jr,49.01,50.99
pichu,duck-hunt,44.96,55.04
pichu,ryu,43.57,56.43
pichu,ken,46.92,53.08
pichu,cloud,50.36,49.64
pichu,corrin,51.56,48.44
pichu,bayonetta,41.84,58.16
pichu,inkling,48.8,51.2
pichu,ridley,49.32,50.68
pichu,simon,38.82,61.18
pichu,richter,42.82,57.18
pichu,king-k-rool,53.24,46.76
pichu,isabelle,46.98,53.02
pichu,incineroar,49.45,50.55
pichu,piranha-plant,49.38,50.62
pichu,joker,55.09,44.91
pichu,hero,48.13,51.87
pichu,banjo-and-kazooie,46.48,53.52
pichu,terry,45.84,54.16
pichu,byleth,55.11,44.89
pichu,min-min,41.38,58.62
pichu,steve,37.97,62.03
pichu,sephiroth,53.04,46.96
pichu,pyra-and-mythra,53.41,46.59
pichu,kazuya,49.02,50.98
pichu,sora,51.11,48.89
falco,marth,55.35,44.65
falco,lucina,56.17,43.83
falco,young-link,42.88,57.12
falco,ganondorf,53.83,46.17
falco,mewtwo,51.31,48.69
falco,roy,51.74,48.26
falco,chrom,50.52,49.48
falco,mr-game-and-watch,45.19,54.81
falco,meta-knight,46.35,53.65
falco,pit,53.7,46.3
falco,dark-pit,53.9,46.1
falco,zero-suit-samus,48.65,51.35
falco,wario,48.51,51.49
falco,snake,40.05,59.95
falco,ike,47.18,52.82
falco,pokemon-trainer,43.98,56.02
falco,diddy-kong,45.27,54.73
falco,lucas,42.65,57.35
falco,sonic,43.08,56.92
falco,king-dedede,48.22,51.78
falco,olimar,36.48,63.52
falco,lucario,49.51,50.49
falco,rob,44.58,55.42
falco,toon-link,43.12,56.88
falco,wolf,46.01,53.99
falco,villager,45.86,54.14
falco,mega-man,43.47,56.53
falco,wii-fit-trainer,44.36,55.64
falco,rosalina,49.2,50.8
falco,little-mac,41.4,58.6
falco,greninja,43.07,56.93
falco,palutena,47.5,52.5
falco,pac-man,44.06,55.94
falco,robin,46.8,53.2
falco,shulk,56.57,43.43
falco,bowser-jr,40.66,59.34
falco,duck-hunt,40.45,59.55
falco,ryu,43.98,56.02
falco,ken,41.04,58.96
falco,cloud,48.69,51.31
falco,corrin,55.81,44.19
falco,bayonetta,39.9,60.1
falco,inkling,43.71,56.29
falco,ridley,50.27,49.73
falco,simon,43.0,57.0
falco,richter,40.17,59.83
falco,king-k-rool,48.46,51.54
falco,isabelle,41.88,58.12
falco,incineroar,45.58,54.42
falco,piranha-plant,47.93,52.07
falco,joker,53.47,46.53
falco,hero,48.29,51.71
falco,banjo-and-kazooie,46.25,53.75
falco,terry,42.05,57.95
falco,byleth,54.89,45.11
falco,min-min,42.59,57.41
falco,steve,42.79,57.21
falco,sephiroth,53.96,46.04
falco,pyra-and-mythra,51.74,48.26
falco,kazuya,40.32,59.68
falco,sora,50.15,49.85
marth,lucina,47.57,52.43
marth,young-link,43.71,56.29
marth,ganondorf,43.4,56.6
marth,mewtwo,37.37,62.63
marth,roy,46.7,53.3
marth,chrom,46.8,53.2
marth,mr-game-and-watch,38.88,61.12
marth,meta-knight,33.33,66.67
marth,pit,37.22,62.78
marth,dark-pit,44.44,55.56
marth,zero-suit-samus,39.93,60.07
marth,wario,44.39,55.61
marth,snake,33.29,66.71
marth,ike,38.47,61.53
marth,pokemon-trainer,37.43,62.57
marth,diddy-kong,37.06,62.94
marth,lucas,41.01,58.99
marth,sonic,34.95,65.05
marth,king-dedede,29.37,70.63
marth,olimar,48.41,51.59
marth,lucario,36.61,63.39
marth,rob,36.06,63.94
marth,toon-link,39.09,60.91
marth,wolf,42.0,58.0
marth,villager,40.34,59.66
marth,mega-man,34.47,65.53
marth,wii-fit-trainer,35.27,64.73
marth,rosalina,42.93,57.07
marth,little-mac,41.74,58.26
marth,greninja,40.7,59.3
marth,palutena,39.29,60.71
marth,pac-man,39.49,60.51
marth,robin,35.63,64.37
marth,shulk,43.44,56.56
marth,bowser-jr,34.54,65.46
marth,duck-hunt,40.23,59.77
marth,ryu,38.1,61.9
marth,ken,33.83,66.17
marth,cloud,44.32,55.68
marth,corrin,44.93,55.07
marth,bayonetta,36.97,63.03
marth,inkling,39.75,60.25
marth,ridley,36.44,63.56
marth,simon,27.64,72.36
marth,richter,32.96,67.04
marth,king-k-rool,35.51,64.49
marth,isabelle,41.73,58.27
marth,incineroar,39.79,60.21
marth,piranha-plant,38.19,61.81
marth,joker,47.32,52.68
marth,hero,41.33,58.67
marth,banjo-and-kazooie,41.62,58.38
marth,terry,39.29,60.71
marth,byleth,46.01,53.99
marth,min-min,38.0,62.0
marth,steve,32.74,67.26
marth,sephiroth,39.11,60.89
marth,pyra-and-mythra,44.52,55.48
marth,kazuya,32.0,68.0
marth,sora,40.66,59.34
lucina,young-link,44.72,55.28
lucina,ganondorf,43.82,56.18
lucina,mewtwo,43.81,56.19
lucina,roy,45.42,54.58
lucina,chrom,45.63,54.37
lucina,mr-game-and-watch,35.18,64.82
lucina,meta-knight,34.23,65.77
lucina,pit,43.09,56.91
lucina,dark-pit,42.0,58.0
lucina,zero-suit-samus,41.39,58.61
lucina,wario,43.18,56.82
lucina,snake,34.63,65.37
lucina,ike,37.72,62.28
lucina,pokemon-trainer,39.45,60.55
lucina,diddy-kong,38.22,61.78
lucina,lucas,38.89,61.11
lucina,sonic,36.88,63.12
lucina,king-dedede,31.82,68.18
lucina,olimar,42.04,57.96
lucina,lucario,39.55,60.45
lucina,rob,38.59,61.41
lucina,toon-link,42.86,57.14
lucina,wolf,40.29,59.71
lucina,villager,39.24,60.76
lucina,mega-man,41.04,58.96
lucina,wii-fit-trainer,36.75,63.25
lucina,rosalina,37.06,62.94
lucina,little-mac,39.03,60.97
lucina,greninja,37.72,62.28
lucina,palutena,42.01,57.99
lucina,pac-man,38.11,61.89
lucina,robin,34.14,65.86
lucina,shulk,43.66,56.34
young-link,snake,43.34,56.66
young-link,ike,42.27,57.73
young-link,pokemon-trainer,50.69,49.31
young-link,diddy-kong,49.81,50.19
young-link,lucas,47.95,52.05
young-link,sonic,43.7,56.3
young-link,king-dedede,47.16,52.84
young-link,olimar,51.24,48.76
young-link,lucario,52.31,47.69
young-link,rob,43.31,56.69
young-link,toon-link,49.81,50.19
young-link,wolf,51.05,48.95
young-link,villager,47.17,52.83
young-link,mega-man,46.68,53.32
young-link,wii-fit-trainer,41.43,58.57
young-link,rosalina,52.58,47.42
young-link,little-mac,45.57,54.43
young-link,greninja,50.45,49.55
young-link,palutena,44.93,55.07
young-link,pac-man,43.23,56.77
young-link,robin,43.23,56.77
young-link,shulk,45.49,54.51
young-link,bowser-jr,43.81,56.19
young-link,duck-hunt,35.71,64.29
young-link,ryu,39.32,60.68
young-link,ken,35.9,64.1
young-link,cloud,46.9,53.1
young-link,corrin,54.29,45.71
young-link,bayonetta,42.88,57.12
young-link,inkling,49.8,50.2
young-link,ridley,51.51,48.49
young-link,simon,40.31,59.69
young-link,richter,39.48,60.52
young-link,king-k-rool,46.67,53.33
young-link,isabelle,48.19,51.81
young-link,incineroar,50.72,49.28
young-link,piranha-plant,51.16,48.84
young-link,joker,55.55,44.45
young-link,hero,43.83,56.17
young-link,banjo-and-kazooie,41.28,58.72
young-link,terry,42.93,57.07
young-link,byleth,50.59,49.41
young-link,min-min,36.04,63.96
young-link,steve,39.22,60.78
young-link,sephiroth,51.09,48.91
young-link,pyra-and-mythra,47.15,52.85
young-link,kazuya,44.46,55.54
young-link,sora,58.79,41.21
ganondorf,mewtwo,47.85,52.15
ganondorf,roy,54.28,45.72
ganondorf,chrom,51.86,48.14
mewtwo,pac-man,41.96,58.04
mewtwo,robin,43.0,57.0
mewtwo,shulk,49.65,50.35
mewtwo,bowser-jr,46.21,53.79
mewtwo,duck-hunt,32.69,67.31
mewtwo,ryu,46.82,53.18
mewtwo,ken,38.43,61.57
mewtwo,cloud,47.65,52.35
mewtwo,corrin,51.76,48.24
mewtwo,bayonetta,38.31,61.69
mewtwo,inkling,42.92,57.08
mewtwo,ridley,48.43,51.57
mewtwo,simon,38.6,61.4
mewtwo,richter,42.72,57.28
mewtwo,king-k-rool,47.86,52.14
mewtwo,isabelle,44.11,55.89
mewtwo,incineroar,48.89,51.11
mewtwo,piranha-plant,48.61,51.39
mewtwo,joker,51.55,48.45
mewtwo,hero,46.15,53.85
mewtwo,banjo-and-kazooie,39.74,60.26
mewtwo,terry,41.96,58.04
mewtwo,byleth,56.97,43.03
mewtwo,min-min,34.9,65.1
mewtwo,steve,31.43,68.57
mewtwo,sephiroth,49.86,50.14
mewtwo,pyra-and-mythra,51.75,48.25
