Personagem1,Personagem2,taxaVitoria1,taxaVitoria2
mario,donkey-kong,45.51,54.49
mario,link,48.53,51.47
mario,villager,47.5,52.5
mario,joker,55.63,44.37
mario,steve,37.58,62.42
mario,sephiroth,55.59,44.41
mario,pyra-and-mythra,49.83,50.17
mario,kazuya,39.45,60.55
mario,sora,47.17,52.83
donkey-kong,villager,47.09,52.91
donkey-kong,mega-man,45.83,54.17
donkey-kong,wii-fit-trainer,46.59,53.41
donkey-kong,rosalina,48.48,51.52
donkey-kong,little-mac,53.08,46.92
donkey-kong,greninja,51.09,48.91
donkey-kong,palutena,47.57,52.43
donkey-kong,pac-man,49.9,50.1
link,pikachu,51.01,48.99
link,luigi,44.05,55.95
link,ness,48.95,51.05
link,captain-falcon,52.71,47.29
link,jigglypuff,57.55,42.45
link,peach,47.22,52.78
link,pokemon-trainer,49.75,50.25
link,diddy-kong,49.64,50.36
link,lucas,50.86,49.14
link,sonic,44.74,55.26
link,king-dedede,44.97,55.03
link,simon,42.5,57.5
link,richter,39.22,60.78
link,king-k-rool,49.97,50.03
link,isabelle,52.18,47.82
link,incineroar,48.15,51.85
link,piranha-plant,53.86,46.14
link,joker,57.51,42.49
link,hero,47.86,52.14
link,banjo-and-kazooie,44.97,55.03
link,terry,44.47,55.53
link,byleth,55.5,44.5
link,min-min,38.13,61.87
link,steve,39.67,60.33
link,sephiroth,56.2,43.8
link,pyra-and-mythra,51.49,48.51
ice-climbers,terry,47.81,52.19
ice-climbers,byleth,57.12,42.88
sheik,mewtwo,50.72,49.28
sheik,roy,45.61,54.39
sheik,chrom,49.78,50.22
sheik,mr-game-and-watch,34.78,65.22
sheik,meta-knight,45.85,54.15
sheik,pit,50.0,50.0
sheik,dark-pit,47.21,52.79
sheik,zero-suit-samus,44.28,55.72
sheik,wario,41.09,58.91
sheik,snake,29.47,70.53
sheik,ike,38.1,61.9
sheik,pokemon-trainer,38.87,61.13
sheik,diddy-kong,46.07,53.93
sheik,lucas,41.75,58.25
sheik,sonic,41.69,58.31
sheik,king-dedede,35.46,64.54
sheik,ridley,42.76,57.24
sheik,simon,48.78,51.22
sheik,richter,36.71,63.29
sheik,king-k-rool,41.62,58.38
sheik,isabelle,40.69,59.31
sheik,incineroar,34.47,65.53
sheik,piranha-plant,38.91,61.09
sheik,joker,49.87,50.13
zelda,toon-link,53.77,46.23
zelda,wolf,57.06,42.94
zelda,villager,58.7,41.3
zelda,mega-man,56.28,43.72
zelda,wii-fit-trainer,42.41,57.59
